Lookup ID,Isotope,,A1 (TBq),,A2 (TBq),,activity concentration limit for exempt matertial (Bq/g),,activity limit for an exempt consignment (Bq),
,Te-131m,(a),7.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Te-132,(a),5.00E-01,,4.00E-01,,1.00E+02,,1.00E+07,
,Th-227,,1.00E+01,,5.00E-03,,1.00E+01,,1.00E+04,
,Th-228,(a),5.00E-01,,1.00E-03,,1.00E+00,(b),1.00E+04,(b)
,Th-229,,5.00E+00,,5.00E-04,,1.00E+00,(b),1.00E+03,(b)
,Th-230,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+04,
,Th-231,,4.00E+01,,2.00E-02,,1.00E+03,,1.00E+07,
,Th-232,,Unlimited,,Unlimited,,1.00E+01,,1.00E+04,
,Th-234,(a),3.00E-01,,3.00E-01,,1.00E+03,(b),1.00E+05,(b)
,Th,(natural),Unlimited,,Unlimited,,1.00E+00,(b),1.00E+03,(b)
,Ti-44,(a),5.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Tl-200,,9.00E-01,,9.00E-01,,1.00E+01,,1.00E+06,
,Tl-201,,1.00E+01,,4.00E+00,,1.00E+02,,1.00E+06,
,Tl-202,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Tl-204,,1.00E+01,,7.00E-01,,1.00E+04,,1.00E+04,
